week_end_date,sessions,avg_session_length,unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth_tb,cumulative_sessions,cumulative_subscribers,gb_per_session
2021-01-10,5546857,00:05:48,347334,63.43,5.53,19242.02,2735969422,9331406,0.012730640072386938
2021-01-17,5489486,00:05:57,349506,70.73,5.98,19318.74,2741458908,9345447,0.014309361568642312
2021-01-24,5380109,00:05:57,345502,66.73,6.22,19391.69,2746839017,9358336,0.013884625757582236
2021-01-31,5162302,00:06:05,339770,69.18,8.25,19469.12,2752001319,9369957,0.015359101424132104
2021-02-07,4740848,00:06:07,317993,63.78,7.18,19540.07,2756742167,9380112,0.015327013226325755
2021-02-14,5301324,00:06:05,343617,66.74,7.06,19613.87,2762043491,9392503,0.014255155881813674
2021-02-21,4788654,00:06:07,361003,57.58,4.66,19676.12,2766832145,9401011,0.013309326587387604
2021-02-28,5090012,00:05:59,396149,60.81,6.15,19743.08,2771922157,9413643,0.013470899479215375
2021-03-07,5713874,00:05:57,358961,67.11,6.67,19816.86,2777636031,9427974,0.013222328668780587
2021-03-14,6188833,00:05:50,365769,65.22,6.56,19888.64,2783824864,9444023,0.01187666883239538
2021-03-21,5983309,00:05:57,353954,61.45,6.2,19956.28,2789808173,9457963,0.011577807530916423
2021-03-28,5838725,00:05:51,365168,59.03,6.35,20021.66,2795646898,9471009,0.011466393776038432
2021-04-04,5648212,00:05:49,363226,63.21,6.72,20091.59,2801295110,9483600,0.012678051036327957
2021-04-11,6221739,00:05:47,370636,65.31,6.53,20163.43,2807516849,9500218,0.011823729667862956
2021-04-18,6214652,00:05:43,372583,61.77,5.43,20230.63,2813731501,9516230,0.01107267148667375
2021-04-25,6518892,00:05:42,377528,68.87,7.64,20307.14,2820250393,9532396,0.012018336858472268
2021-05-02,6758954,00:05:36,386712,64.87,6.5,20378.51,2827009347,9549230,0.010812750020195433
2021-05-09,5605557,00:05:35,379065,55.56,6.62,20440.69,2832614904,9564366,0.011358785576527006
2021-05-16,7057845,00:05:32,402584,63.66,7.32,20511.67,2839672749,9582801,0.010298259596236526
2021-05-23,5556566,00:04:23,385352,45.6,4.85,20562.12,2845229315,9599681,0.00929725301562152
2021-05-30,6765640,00:04:53,395566,56.93,6.55,20625.6,2851994955,9617639,0.009607889275811306
2021-06-06,7525005,00:04:15,415191,63.79,6.29,20695.68,2859519960,9637921,0.00953646143756715
2021-06-13,7944214,00:04:09,423948,64.06,6.38,20766.13,2867464174,9657913,0.009079634561707427
2021-06-20,7943219,00:04:55,429850,60.32,5.58,20832.02,2875407393,9680498,0.008495497857984277
2021-06-27,7512627,00:05:28,453555,53.0,5.13,20890.14,2882920020,9699767,0.007923342926515585
2021-07-04,7430943,00:05:17,417960,50.68,4.57,20945.39,2890350963,9718278,0.007613569367979273
2021-07-11,7812188,00:04:51,423095,54.62,5.24,21005.25,2898163151,9741563,0.007846283269168638
2021-07-18,8543783,00:04:33,499009,55.54,5.58,21066.37,2906697934,9765548,0.007325429496512259
2021-07-25,7047559,00:04:39,475745,53.57,5.51,21125.45,2913745493,9788767,0.008584237464347584
2021-08-01,7644607,00:04:21,402898,50.8,5.14,21181.39,2921390100,9809524,0.007493198800147607
2021-08-08,7765908,00:04:06,410928,67.07,6.56,21255.02,2929156008,9830942,0.009708732063269356
2021-08-15,7894787,00:04:17,435251,51.54,6.55,21313.12,2937050795,9848073,0.007534612396762572
2021-08-22,9208116,00:03:34,430609,50.27,5.04,21368.42,2946258911,9870612,0.00615081738761762
2021-08-29,8777860,00:03:43,438745,48.16,4.51,21421.1,2955036771,9892788,0.006144331306263713
2021-09-05,7957774,00:04:05,441150,49.6,4.65,21475.35,2962994545,9915482,0.006980846653850688
2021-09-12,8393949,00:04:07,450115,50.49,6.39,21532.23,2971388494,9940897,0.0069389413731248545
2021-09-19,8783401,00:04:03,463737,52.21,5.42,21589.86,2980171895,9967568,0.006718709529486357
2021-09-26,9730824,00:03:56,479825,59.4,5.75,21655.01,2989902719,9996238,0.0068559044948300375
2021-10-04,4136082,00:20:17,228355,89.97,15.57,22280.49,2936893666,10023338,0.026129307881226724
2021-10-10,4058686,00:20:28,228253,92.45,15.95,22388.89,2940952352,10048619,0.027349146989937137
2021-10-17,4054532,00:20:58,230096,92.83,16.21,22497.93,2945006884,10074139,0.027538803491993648
2021-10-24,4128091,00:20:49,229724,98.83,17.8,22731.19,2953263066,10120947,0.02893083510029212
2021-10-31,4083027,00:20:44,228907,97.02,17.02,22842.63,2957301029,10143363,0.028600584811219715
2021-11-07,4076435,00:20:53,230943,98.59,18.25,22961.86,2961361039,10166503,0.029350194471394735
2021-11-14,4154634,00:21:04,234881,105.43,19.07,22969.34,2961429568,10170958,0.03068573549439012
2021-11-21,4237874,00:21:04,238560,100.66,17.75,23087.39,2965657060,10198305,0.028611478302563973
2021-11-28,3775898,00:21:18,234001,89.91,15.08,23192.83,2969423283,10226863,0.028472633529825223
2021-12-05,4273933,00:21:16,243546,105.39,17.2,23315.14,2973686567,10258670,0.029371578824469172
2021-12-12,4401032,00:21:25,243384,105.25,17.8,23437.87,2978074813,10289652,0.028630375784588706
2021-12-19,4280458,00:21:35,238392,107.81,17.33,23562.68,2982343734,10318906,0.029936833862170824
2021-12-26,3718831,00:21:54,226217,93.79,16.58,23672.77,2986050555,10351030,0.030390969635350464
2022-01-02,3866501,00:22:11,228609,95.01,18.04,23785.43,2989904252,10392618,0.02994004139660122
2022-01-09,3477266,00:22:09,217029,88.87,14.91,23888.92,2993372440,10414111,0.030561573374024306
2022-01-16,3345285,00:22:18,206094,91.86,14.67,23995.19,2996708593,10431711,0.0326090960859837
2022-01-23,3372595,00:22:10,206728,98.68,14.62,24108.14,3000070573,10449897,0.034400572852655006
2022-01-30,3357235,00:22:16,204380,98.56,14.63,24221.09,3003418699,10466807,0.03452441071298256
2022-02-06,3478457,00:21:59,211075,94.43,14.54,24330.07,3006897156,10486128,0.03207895914769106
2022-02-13,3818432,00:21:49,219243,97.87,16.2,24444.14,3010715588,10509510,0.030590483214052264
2022-02-20,3828421,00:22:01,218063,98.7,15.48,24557.28,3014508154,10530559,0.030540089504262985
2022-02-27,3702101,00:22:15,217733,102.56,15.5,24674.42,3018169953,10557298,0.032655359753826274
2022-03-06,4022287,00:21:59,226351,102.97,15.88,24792.04,3022149044,10583572,0.030257015474032558
2022-03-13,3894963,00:22:04,222794,101.75,16.29,24909.12,3026011170,10608217,0.03103314716981907
2022-03-20,4241789,00:22:12,232342,109.1,18.57,25035.7,3030214659,10641759,0.03082050521607746
2022-03-27,4164598,00:22:11,232452,106.1,17.65,25158.54,3034343235,10671938,0.030427906847191495
2022-04-03,4083721,00:22:10,231675,105.11,17.03,25279.69,3038391499,100700585,0.03062681314418884
2022-04-10,4279006,00:22:11,238727,110.42,18.56,25407.67,3042629988,10736221,0.030865934752136358
2022-04-17,4786945,00:22:16,258440,119.1,21.31,25546.79,3047374001,10785837,0.030035824518560374
2022-04-24,4353342,00:22:17,246063,115.45,19.35,25680.37,3051714883,10824042,0.03170786949428738
2022-05-01,2659102,00:21:46,206636,66.64,11.28,25758.28,3054372740,10843270,0.030006400657063927
2022-05-08,1651913,00:24:30,90637,68.2,10.47,25837.26,3056046274,10977991,0.048766539157933865
2022-05-15,2079612,00:24:11,110110,79.56,12.13,25928.95,3058125643,11030871,0.045148114167450466
2022-05-22,2412784,00:23:59,129313,81.45,12.83,26023.28,3060565255,11083833,0.04001299743366998
2022-05-30,2511017,00:24:12,143516,84.83,14.44,26122.55,3063076272,11136057,0.040482593307811135
2022-06-06,2684974,00:24:00,152767,87.06,14.58,26224.19,3065761246,11185835,0.03876363793466901
2022-06-13,2939275,00:24:03,158366,89.12,14.94,26328.25,3068700521,11232063,0.03625296714325812
2022-06-19,3065038,00:23:12,164308,91.16,14.82,26434.23,3071765559,11276221,0.03540690849509859
2022-06-26,3118333,00:23:21,170532,95.95,16.0,26546.18,3074883892,11321069,0.03676220596068477
2022-07-03,3158528,00:23:21,177501,97.55,15.38,26659.11,3078042420,11367127,0.03661209272167288
2022-07-10,3249717,00:23:27,183451,98.1,16.35,26773.56,3081292137,11414846,0.03606369416167623
2022-07-17,3296880,00:23:17,189892,96.61,16.11,26886.29,3084589017,11462723,0.03501045837276455
2022-07-24,3381214,00:23:13,192633,99.32,16.23,27001.85,3087970231,11508417,0.034994294948500745
2022-07-31,3562922,00:23:15,199934,102.04,17.68,27121.57,3091505431,11557432,0.034408072924414286
2022-08-07,3668886,00:23:14,208261,106.21,18.23,27244.46,3095068353,11606145,0.03473167604553535
2022-08-14,3752859,00:23:40,214463,112.34,19.64,27368.9,3098737239,11655953,0.03601188320690973
2022-08-21,3296456,00:23:14,219238,96.87,15.99,27613.74,3105786554,11763607,0.035058450651244855
2022-08-28,4047052,00:23:12,226977,116.79,19.69,27750.22,3109833606,11819266,0.03453267217717984
2022-09-04,4055208,00:23:15,231135,119.57,20.07,27889.86,3113888814,11873405,0.03526116539521523
2022-09-11,4250937,00:22:55,231406,124.06,20.4,28034.31,3118139751,11922607,0.03479869026522858
2022-09-18,4220300,00:22:52,230698,120.28,20.17,28174.77,3122360051,11970026,0.034078335663341466
2022-09-25,4053315,00:22:55,227490,118.95,18.66,28312.39,3126413366,12012523,0.03476478882100207
2022-10-02,4007644,00:22:47,229566,109.52,19.03,28440.93,3130421010,12056612,0.032846031234311235
2022-10-09,4224905,00:22:57,237243,119.5,19.86,28440.39,3130421033,12102179,0.033777005636813136
2022-10-16,4184761,00:23:10,238359,119.74,20.09,28440.39,3130421312,12102179,0.03421603288694384
2022-10-23,4205425,00:23:10,238476,120.37,20.21,28440.39,3130421661,12197462,0.034230528424594425
2022-10-30,4331459,00:23:04,245251,123.4,21.25,28440.39,3130421677,12248067,0.03419669907991742
2022-11-06,4555980,00:23:00,250342,124.21,22.4,28440.39,3130421677,12248067,0.032951997155386985
2022-11-13,4243050,00:23:06,238843,123.01,19.96,28440.39,3130421753,12287309,0.034503783834741515
2022-11-20,4033075,00:22:52,230120,120.24,17.1,28440.39,3130421840,12320340,0.034870702875597404
2022-11-27,3735131,00:23:20,227900,121.24,19.13,28580.39,3134153334,12357806,0.03848295548402452
2022-12-04,4110764,00:23:02,235463,124.02,19.4,28580.39,3134153450,12396241,0.03572622510073553
2022-12-11,4254462,00:22:57,238796,122.44,19.64,28721.39,3138403003,12436231,0.03419701950563902
2022-12-18,3933744,00:23:02,229497,118.5,17.38,28856.39,3142331004,12469435,0.03537116802720258
2022-12-25,3723756,00:23:13,224668,108.69,16.82,28856.39,3142333488,12506835,0.034514141098396345
2023-01-01,3988549,00:23:21,239421,114.15,20.61,28856.39,3142336727,12566911,0.03459760429168602
2023-01-08,4032283,00:23:12,238876,118.1,19.35,28856.39,3142339574,12606982,0.034905486544471204
2023-01-15,3762205,00:23:28,215395,122.75,18.01,28856.39,3142339692,12635792,0.03831217065524074
2023-01-22,3783569,00:23:10,217628,126.16,18.45,28998.39,3146115890,12666334,0.039137819344645226
2023-01-29,3886575,00:23:03,220655,124.52,18.13,29140.39,3149994749,12696431,0.037584145423669946
2023-02-05,3867097,00:23:08,222511,121.06,17.31,29278.39,3153853985,12725196,0.03664011531130458
2023-02-12,4246577,00:23:16,232553,130.73,19.72,29278.39,3153854130,12759912,0.03627881938794469
2023-02-19,4423464,00:23:19,245812,135.39,19.9,29433.39,3158266656,12802542,0.03594851455782165
2023-02-26,4130936,00:23:30,240235,133.03,19.59,29433.39,3158269897,12840483,0.03783231693737207
2023-03-05,4276715,00:23:13,241670,134.06,20.75,29433.39,3158278054,12875580,0.03706710407403813
2023-03-12,4330962,00:23:23,242470,132.97,19.89,29433.39,3158281476,12909978,0.03614177173570214
2023-03-19,4349778,00:23:24,245401,132.73,20.34,29585.39,3162619556,12947711,0.03603486890595336
2023-03-26,4460714,00:23:29,247628,135.88,21.25,29741.39,3167068565,12983936,0.03607070975633049
2023-04-02,4518949,00:23:23,251609,135.96,20.55,29741.39,3167079218,13022610,0.035465379228665786
2023-04-09,4793907,00:23:21,269188,137.93,23.12,29741.39,3167079427,13076380,0.03440100110410987
2023-04-16,4833247,00:23:30,266777,143.66,22.95,29907.39,3171895538,13122959,0.03529896982297821
2023-04-23,4831826,00:23:10,267777,141.36,21.21,32570.61,3249086906,13168612,0.03445316118585397
2023-04-30,4802629,00:22:56,266526,138.95,21.37,32730.93,3253889535,13209532,0.034182877752997366
2023-05-07,4978576,00:22:51,274295,137.85,23.54,32892.32,3258868110,13263303,0.03319490553122017
2023-05-14,5031061,00:23:16,273506,141.12,22.88,37199.73,3376584236,15542720,0.03337983777179406
2023-05-21,4879811,00:23:30,274989,138.82,22.53,37361.08,3381464047,15591948,0.0338583604979783
2023-05-28,4933894,00:23:39,278184,140.57,23.3,37524.96,3386397941,15641105,0.034010232080381134
2023-06-04,5098548,00:22:23,278023,142.29,23.75,37691.01,3391496489,15689292,0.033347721743523843
2023-06-11,4875135,00:23:45,276512,148.58,24.08,33720.25,3283686558,13503027,0.03626645005728047
2023-06-18,4970213,00:23:28,277625,149.11,23.4,33892.76,3288656771,13551199,0.03554178462774131
2023-06-25,4930763,00:23:35,277975,146.3,23.36,34062.43,3293587534,13597643,0.03523427104486669
2023-07-02,4984429,00:23:31,284276,148.73,23.01,34234.18,3298571963,13648039,0.03528222791417031
2023-07-09,4786929,00:23:28,279872,142.69,25.14,34402.01,3303358892,13698385,0.03590149759898256
2023-07-16,4883904,00:23:27,283135,145.95,23.63,34571.59,3308242796,13748183,0.035555555555555556
2023-07-23,3839117,00:25:23,271599,137.78,20.73,34730.11,3312081913,13790916,0.04227905531402142
2023-07-30,4415252,00:24:05,277793,138.19,22.24,34890.54,3316497161,13840587,0.03720746177115145
2023-08-06,5239199,00:23:38,292911,158.76,25.99,35075.29,3321736360,13897652,0.036109336560798705
2023-08-13,5197777,00:23:29,295216,156.91,24.63,35256.84,3326934137,13954001,0.03576470479591564
2023-08-20,5252529,00:23:28,297266,154.14,24.64,35435.62,3332186666,14011451,0.034853823748521896
2023-08-27,5226917,00:23:31,297622,157.92,25.13,35618.66,3337413583,14068286,0.03586113955894076
2023-09-03,5353246,00:23:30,300441,159.52,26.44,35804.62,3342766829,14124513,0.03557150932350204
2023-09-10,5223012,00:23:27,298211,154.63,24.35,35983.61,3347989840,14175490,0.03509000553703495
2023-09-17,5513829,00:23:19,302708,159.74,25.77,36169.11,3353503602,14227398,0.03445196432461
2023-09-24,5217859,00:23:30,301045,156.13,23.71,36348.95,3358721461,14276403,0.03529343357112563
2023-10-01,4919711,00:23:28,295434,149.41,22.87,36521.23,3363641172,14321530,0.03585875674404452
2023-10-08,5423843,00:23:34,306410,158.28,25.45,36704.96,3369065015,14372769,0.03468749371985878
2023-10-15,5271828,00:23:39,306576,155.58,25.57,36886.11,3374336843,14420604,0.035186580442305784
2023-10-22,5398708,00:23:19,308183,151.82,24.81,37062.73,3379735451,14469804,0.03350229721629693
2023-10-29,5743315,00:23:14,319553,160.2,25.43,37248.36,3385478766,14525256,0.03309676032047694
