,site_id,planned_kiosk_type,installation_status,ppt_id,legacy_id,borough,council_district,community_board,street_address,cross_street_1,cross_street_2,ixn_corner,postcode,zoning,latitude,longitude,installation_complete,activation_complete,neighborhood_tabulation_area_nta,building_identification_number_bin,boroughblocklot_bbl,census_tract_ct,location
1119,mn-03-122246,Link1.0,Live,122246,mn-03-122246,Manhattan,1,103,2 ALLEN STREET,DIVISION STREET,CANAL STREET,NE,10002,C6-2G,40.714508,-73.99249,2017-04-02,2017-06-21,Chinatown,1088837.0,1002947502.0,1001600.0,"(40.714508, -73.99249)"
1120,mn-05-139462,Link1.0,Live,139462,mn-05-139462,Manhattan,3,105,828 8 AVENUE,WEST 50 STREET,WEST 49 STREET,SE,10019,C6-4,40.762151,-73.986052,2016-03-06,2016-04-06,Midtown-Midtown South,1085498.0,1010210001.0,1012500.0,"(40.762151, -73.986052)"
1121,mn-06-121703,Link1.0,Live,121703,mn-06-121703,Manhattan,5,106,1044 1 AVENUE,EAST 57 STREET,EAST 56 STREET,SE,10022,C1-5,40.758113,-73.962914,2017-10-25,2018-05-09,Turtle Bay-East Midtown,1040466.0,1013680001.0,1010601.0,"(40.758113, -73.962914)"
1122,bk-06-145906,Link1.0,Live,145906,LINK-020657,Brooklyn,33,306,333 BALTIC STREET,SMITH STREET,HOYT STREET,NE,11201,C2-4,40.684799,-73.991581,2019-05-13,2019-06-07,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3006352.0,3003970001.0,3006900.0,"(40.684799, -73.991581)"
1123,qu-03-152939,Link1.0,Live,152939,LINK-021034,Queens,25,403,76-02 NORTHERN BOULEVARD,Northern Boulevard,34th Avenue,SE,11372,C8-1,40.754699,-73.890832,2022-09-01,2022-10-21,Jackson Heights,,,,"(40.754699, -73.890832)"
1124,bx-05-119615,Link1.0,Live,119615,LINK-011721,Bronx,14,205,2201 JEROME AVENUE,WEST 182 STREET,EAST 182 STREET,NW,10453,C8-3,40.857222,-73.904743,2021-11-19,2022-04-28,Fordham South,2014209.0,2031960038.0,2023900.0,"(40.857222, -73.904743)"
1125,mn-06-123287,Link1.0,Live,123287,mn-06-123287,Manhattan,2,106,223 EAST 14 STREET,3 AVENUE,2 AVENUE,NW,10003,C1-6A,40.73296,-73.986173,2016-10-01,2016-10-19,Gramercy,1019504.0,1008960011.0,1004800.0,"(40.73296, -73.986173)"
1126,mn-04-135811,Link1.0,Live,135811,mn-04-135811,Manhattan,3,104,175 7 AVENUE,WEST 20 STREET,WEST 21 STREET,NE,10011,C2-5,40.742301,-73.99683,2018-03-03,2018-05-08,Hudson Yards-Chelsea-Flatiron-Union Square,1014742.0,1007960001.0,1008700.0,"(40.742301, -73.99683)"
1127,bk-07-145865,Link1.0,Live,145865,LINK-021528,Brooklyn,38,307,941 4 AVENUE,36 STREET,37 STREET,SE,11232,C2-4,40.654133,-74.004404,2017-07-15,2017-08-23,Sunset Park West,3010335.0,3006970010.0,3008400.0,"(40.654133, -74.004404)"
1128,qu-09-126735,Link1.0,Live,126735,qu-09-126735,Queens,30,409,74-39 JAMAICA AVENUE,75 STREET,DEXTER COURT,MIDBLOCK,11421,C2-4,40.69145,-73.866734,2017-06-03,2017-07-21,Woodhaven,4180778.0,4088350001.0,4000200.0,"(40.69145, -73.866734)"
1129,bx-05-111414,Link1.0,Live,111414,bx-05-111414,Bronx,14,205,8 WEST BURNSIDE AVENUE,JEROME AVENUE,DAVIDSON AVENUE,MIDBLOCK,10453,C1-4,40.853764,-73.907899,2016-12-06,2017-01-17,University Heights-Morris Heights,2008401.0,2028630032.0,2024300.0,"(40.853764, -73.907899)"
1130,bk-09-153360,Link5G_Ad,Live,153360,,Brooklyn,35,309,402 EASTERN PARKWAY,EASTERN PARKWAY,UNION STREET,SW,11225,C8-2,40.669791,-73.955285,2022-09-12,2022-12-13,Crown Heights South,3032886.0,3012670001.0,323.0,"(40.669791, -73.955285)"
1131,qu-13-160011,Link5G_NonAd,Live,,,Queens,31,413,241-01 135 AVENUE,242nd ST,241st ST,SW,11422,R2,40.6717,-73.73323,2024-02-23,2024-10-03,Rosedale,4283966.0,4132220001.0,,"(40.6717, -73.73323)"
1132,mn-05-108039,Link1.0,Live,108039,mn-05-108039,Manhattan,3,105,1149 BROADWAY,WEST 27 STREET,WEST 26 STREET,NW,10001,M1-6,40.744243,-73.989016,2016-10-01,2016-11-08,Hudson Yards-Chelsea-Flatiron-Union Square,1015655.0,1008280051.0,1005800.0,"(40.744243, -73.989016)"
1133,qu-06-128370,Link1.0,Live,128370,qu-06-128370,Queens,29,406,101-20 QUEENS BOULEVARD,67 DRIVE,67 ROAD,SW,11375,C1-2,40.726082,-73.852197,2016-11-05,2017-08-16,Forest Hills,4075147.0,4031710028.0,4071305.0,"(40.726082, -73.852197)"
1134,bk-01-145857,Link1.0,Live,145857,LINK-020772,Brooklyn,34,301,256 GRAHAM AVENUE,MAUJER STREET,GRAND STREET,NE,11206,C2-4,40.711079,-73.943732,2017-06-27,2017-08-10,East Williamsburg,3069606.0,3027890001.0,3049500.0,"(40.711079, -73.943732)"
1135,mn-12-118141,Link1.0,Live,118141,LINK-012592,Manhattan,10,112,1653 ST NICHOLAS AVENUE,FAIRVIEW AVENUE,FORT GEORGE AVENUE,MIDBLOCK,10040,C1-4,40.857032,-73.928367,2022-02-04,2022-04-25,Washington Heights North,1064072.0,1021700251.0,1027900.0,"(40.857032, -73.928367)"
